id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
45026,Apartment raised basement,198732,Christine,,Saint-Gilles,50.82677,4.34987,Entire home/apt,64,1,143,2025-02-09,0.82,1,302,76,
48180,in renewal,219560,Ahmet,,Woluwe-Saint-Pierre,50.83771,4.40707,Entire home/apt,200,2,0,,,1,365,0,
52796,Bright apartment in Ixelles/Louise,244722,Pierre,,Ixelles,50.83362,4.36057,Entire home/apt,83,5,129,2025-03-08,0.75,1,137,7,
80257,Private New York Apt-Brussels Midi Station&Center,433586,Kristella/Francesco,,Anderlecht,50.83992,4.33636,Entire home/apt,90,1,10,2024-12-01,0.07,15,250,1,
80320,Private Medina Apt- Brussels Midi Station & Center,433586,Kristella/Francesco,,Anderlecht,50.83992,4.33636,Entire home/apt,102,1,75,2023-05-28,0.44,15,253,0,
80373,Private Villa Romaine Apt- Midi station & Center,433586,Kristella/Francesco,,Anderlecht,50.83992,4.33636,Entire home/apt,88,1,19,2024-12-16,0.17,15,235,1,
96293,Big Family N°1 Apt- Brussels Midi Station & Center,433586,Kristella/Francesco,,Anderlecht,50.84053,4.3363,Entire home/apt,167,1,56,2024-03-24,0.33,15,238,1,
96642,Private Violetta Apt-Brussels Midi Station &Center,433586,Kristella/Francesco,,Anderlecht,50.83992,4.33636,Entire home/apt,88,1,28,2024-11-10,0.17,15,188,1,
96694,Private Mimosa Apt -Brussels Midi Station & Center,433586,Kristella/Francesco,,Anderlecht,50.83992,4.33636,Entire home/apt,97,1,49,2024-07-07,0.30,15,221,2,
97740,A la Villa des Roses Voltaire B&B,517059,Benoît,,Schaerbeek,50.87048,4.37904,Hotel room,81,2,3,2016-05-26,0.02,2,0,0,
97768,Charming & cosy B&B in Uccle.,510480,Françoise,,Uccle,50.80688,4.33337,Private room,60,92,2,2021-06-30,0.03,2,184,0,
106677,Charming Flat/Studio with garden.,510480,Françoise,,Uccle,50.80657,4.33571,Entire home/apt,66,92,1,2019-09-30,0.02,2,269,0,
118707,Private Apt Sydney-Brussels Midi Station & Center,433586,Kristella/Francesco,,Anderlecht,50.83992,4.33636,Entire home/apt,100,1,49,2024-12-08,0.29,15,249,2,
130097,Very close to Grand'Place,641036,Pascal,,Bruxelles,50.84581,4.35008,Hotel room,112,2,258,2025-03-09,1.54,2,230,49,
134357,Private Apt Florence-Brussels Midi Station &Center,433586,Kristella/Francesco,,Anderlecht,50.83992,4.33636,Entire home/apt,91,1,26,2024-06-15,0.20,15,215,1,
134361,Private Lilas Apt- Brussels Midi Station & Center,433586,Kristella/Francesco,,Anderlecht,50.83992,4.33636,Entire home/apt,97,1,42,2024-09-24,0.29,15,216,1,
134504,Private Villarosa Apt-Brussels Midi Station&Center,433586,Kristella/Francesco,,Anderlecht,50.83992,4.33636,Entire home/apt,110,1,29,2024-10-28,0.18,15,214,1,
148114,Private Savane Apt-Brussels Midi Station & Center,433586,Kristella/Francesco,,Anderlecht,50.83992,4.33636,Entire home/apt,110,1,15,2023-03-19,0.09,15,233,0,
148797,Big appt 3 bedroom with Garden,717733,Grégoire,,Etterbeek,50.83063,4.38619,Entire home/apt,171,5,21,2024-08-15,0.15,1,62,3,
166510,1-bedroom Apartment  in EU District,674142,RAS Residence,,Bruxelles,50.84603,4.37422,Entire home/apt,181,1,11,2022-04-19,0.07,7,93,0,
196623,LOFT JAMAR BRUXELLES GARE DU MIDI,957771,Sylvain,,Anderlecht,50.84,4.33689,Entire home/apt,102,1,216,2025-03-09,1.33,1,221,7,
200385,Bright and Charming Apartment with sunny terrace!,624176,Daan,,Saint-Gilles,50.8264,4.34247,Entire home/apt,109,2,524,2025-03-15,4.38,1,264,101,
268652,Contemporary Art Flat in Centre,1408080,Luc,,Bruxelles,50.852,4.34017,Entire home/apt,83,1,390,2025-01-01,2.44,1,246,20,
269844,Beautiful apartment near EU offices,1171205,Elena,,Bruxelles,50.84584,4.37564,Entire home/apt,118,2,156,2025-03-03,0.97,2,234,37,
293138,Amazing Suite in EU District,674142,RAS Residence,,Bruxelles,50.84603,4.37422,Private room,157,1,62,2025-02-16,0.40,7,81,1,
293230,1-Bedroom Apartment in EU District,674142,RAS Residence,,Bruxelles,50.84603,4.37422,Entire home/apt,186,1,47,2024-12-27,0.33,7,92,1,
293280,Elegant Studio-Flat in EU District,674142,RAS Residence,,Bruxelles,50.84603,4.37422,Private room,144,1,104,2025-02-16,0.79,7,84,4,
293281,Cute private suite in EU District,674142,RAS Residence,,Bruxelles,50.84603,4.37422,Private room,,1,124,2025-03-07,0.79,7,88,18,
302472,Brussels EU Uptown charming modern!,71215,Ariane,,Ixelles,50.81523,4.35168,Entire home/apt,120,5,7,2019-04-23,0.06,1,363,0,
348575,Duplex first floor - Brussels,1764707,Marcelo,,Bruxelles,50.84902,4.3653,Entire home/apt,120,6,235,2025-02-22,1.51,3,233,11,
348607,Duplex design in downtown,1764707,Marcelo,,Bruxelles,50.84731,4.36337,Entire home/apt,86,15,218,2025-02-23,1.39,3,280,17,
378953,Large house & garden front room,1823420,Vincent,,Woluwe-Saint-Lambert,50.86206,4.4274,Private room,50,3,70,2025-01-01,0.48,3,0,9,
378955,A nice & green place for a long stay,1823420,Vincent,,Evere,50.8619,4.42555,Entire home/apt,64,14,21,2025-02-14,0.13,3,265,3,
405932,Sunshine B&B Brussels - Chatelain,2023289,Jacques & Françoise,,Ixelles,50.82071,4.35525,Private room,64,2,160,2024-11-11,1.05,1,199,12,
441012,Altitude 100,2188987,Elvira Anna Elisabetta,,Forest,50.81568,4.33865,Entire home/apt,58,3,111,2025-02-01,0.76,2,290,3,
443355,"Stay @Bohemian heart BXL, in spacious comfort",2188995,Veronica,,Saint-Gilles,50.83212,4.34993,Private room,42,25,18,2024-09-30,0.12,3,246,1,
448217,"Nice small B&B single room, private bathroom",2226232,Anne,,Saint-Gilles,50.82862,4.35048,Private room,60,3,635,2025-03-14,4.07,1,33,48,
489081,Family stay @ bohemian heart BXL,2188995,Veronica,,Saint-Gilles,50.83131,4.34995,Entire home/apt,130,10,12,2025-01-01,0.08,3,279,3,
510929,Room for one under the roof,2210824,Carine,,Saint-Josse-ten-Noode,50.85411,4.37615,Private room,41,4,401,2025-02-28,2.59,1,58,31,
623192,Cute flat down town Brussels,3090043,Amélie,,Bruxelles,50.84387,4.34906,Entire home/apt,68,4,274,2025-03-01,1.79,1,88,16,
659834,Centre Ville Grand-Place Loft-Atelier d'artistes,2996959,Hervé,,Bruxelles,50.84724,4.34033,Entire home/apt,77,3,127,2025-02-23,0.83,1,348,34,
666495,"NY Style basement studio, Brussels",3369813,Jeroen,,Anderlecht,50.83392,4.32795,Private room,65,2,35,2024-12-04,0.23,1,309,3,
678139,Cosy 90 m2 duplex + private garden in Ixelles,3449982,Laetitia,,Ixelles,50.83195,4.36246,Entire home/apt,,10,62,2025-03-01,0.87,6,276,13,
688398,"Studio flat in St Gilles, Brussels",3506931,Adam,,Saint-Gilles,50.83202,4.34506,Entire home/apt,,5,119,2024-09-30,0.79,1,159,11,
